task,score,domain,date,text,paper_id
6248.0,3,www.taiwannews.com.tw,2018-07-05 04:05:00,That's a reflection of the human touch England players have come to expect from Southgate.,533
4350.0,3,www.abc.net.au,2018-07-05 06:00:29,"If you've travelled overseas, you've probably felt the pain of a bad exchange rate (or been lucky enough to benefit from a good one).",569978
1013.0,3,whdh.com,2018-07-18 00:00:00,"“I will say I was very privileged to be able to be there,” Schwab said, her eyes filling with tears.",319493
8590.0,0,www.channelnewsasia.com,2018-07-05 01:10:00,"Advertisement
Advertisement
Embraer, the third largest aircraft manufacturer in the world, was founded as a state group in 1969 before being privatized in 1994, although the Brazilian government retained the right to make strategic decisions for the company.",206852
19359.0,3,www.oneindia.com,2018-07-04 22:55:21,"The Congress chief, who launched a 'Shakti' portal for quick sharing of party activities among workers, alleged big businessmen were benefitting because of the ruling BJP's policies while the middle class and poorer sections were struggling.",246433
7850.0,3,www.channelnewsasia.com,2018-07-05 01:50:40,"""When it was 5-5 I started thinking about those match points on my serve at 40-0, but I told myself 'no, you are not going to lose this match'.",204823
10676.0,3,indianexpress.com,2018-07-05 00:04:29,"“Well, then, my foreigner, you are not so strong as you think yourself to be.",230588
15386.0,3,www.dailyexaminer.com.au,2018-07-05 00:00:00,"It is such a big prize, I reckon Jenny would have to take a shy at the stumps.”
Looker has a strong book of rides at Grafton today, also earning the sit on John Carlton Cup (1205m) topweight Just A Bullet for Brett Cavanough.",692548
102.0,3,www.news18.com,2018-07-20 00:00:00,"""It's hard to predict where these moves will lead the world, but Washington will unavoidably pay heavy prices for its attempts to change the whole world to its economic tributary.""U.S.",200071
7412.0,3,www.news.com.au,2018-07-05 02:23:01,"""That's not me being cocky or confident.",421210
13048.0,3,www.nzherald.co.nz,2018-07-05 00:00:00,"Neighbours of Letby told media they were in disbelief someone who was so ""dedicated to her job"" could be accused of anything like what had been suggested.",81550
11429.0,3,www.tvnz.co.nz,2018-07-05 00:00:00,"""To be honest I didn't think I would play one game of NRL.",85350
16911.0,3,www.taiwannews.com.tw,2018-07-04 23:46:00,I was a bit worried and I sent him for exams at the British hospital in Lisbon.,2290
1358.0,0,www.radiotimes.com,2018-07-15 00:00:00,"Advertisement
As her relationship with Max grows increasingly complicated and her past demons return to haunt her, will Rainie renege on the arrangement to be paid to pose as Mrs Branning until the baby girl’s granddad is granted full custody?",29910
9579.0,3,pakobserver.net,2018-07-05 00:24:07,This meeting is the first foreign ministers’ meeting held by the existing participants of the comprehensive agreement on the Iranian nuclear issue under the new situation.,174808
17559.0,3,www.channelnewsasia.com,2018-07-04 23:25:40,"The dogs' enthusiasm and desire to fetch would certainly make it even more of a fantastic spectacle and no doubt they'd get more attention than the players.""",204831
