text,score
"windtalkers blows this way and that , but there's no mistaking the filmmaker in the tall grass , true to himself .",0
it has the requisite faux-urban vibe and hotter-two-years-ago rap and r&b names and references .,0
"so mind-numbingly awful that you hope britney won't do it one more time , as far as movies are concerned .",0
"leading a double life in an american film only comes to no good , but not here . matters play out realistically if not always fairly .",0
"when a harvard-educated cia agent is killed during an operation , the secret agency recruits his twin brother ( chris rock ) , an african-american street-wise hustler with no idea what's coming for him .",1
a beguiling splash of pastel colors and prankish comedy from disney .,0
police and investigators believed the murders were in retaliation for a robbery days prior to the murders .,1
". . . once the true impact of the day unfolds , the power of this movie is undeniable .",0
a charming trifle . . . a welcome return to jocular form .,0
several people are listening to keith's plight on the radio and are making changes of their own .,1
it offers little beyond the momentary joys of pretty and weightless intellectual entertainment .,0
robinson's web of suspense matches the page-turning frenzy that clancy creates .,0
"not the kind of film that will appeal to a mainstream american audience , but there is a certain charm about the film that makes it a suitable entry into the fest circuit .",0
"a tense , capably-made film that's exciting and realistic enough to satisfy filmgoers who've had their fill of hollywood's usual ultra-unrealistic blockbuster fare .",0
turns out to be much more complex than the originally released gem .,0
"a young bounty hunter who makes her living tracking sims , finds herself the unlikely ally of a police detective who suspects the cyberlink is being perverted for an insidious and deadly purpose .",1
god bless crudup and his aversion to taking the easy hollywood road and cashing in on his movie-star gorgeousness .,0
"using his audience as a figurative port-of-call , dong pulls his even-handed ideological ship to their dock for unloading , before he continues his longer journey still ahead .",0
"upon discovering her infidelity , roxie's husband amos refuses to take the blame for the murder and roxie is sent to jail , pending hanging .",1
"but , things go frightfully wrong and the game turns into a struggle to make it out of the house alive .",1
few films this year have been as resolute in their emotional nakedness .,0
"she works at a pet clinic and lives alone with her only "" true friend "" ; a doll her mother gave her when she was a little girl .",1
a drug lord who pretends to overthrow the mexican government .,1
"deeply-rendered , distinctly three-dimensional performances . . . make "" altar boys "" very engaging even though the story is never quite compelling enough to draw you in on its own .",0
"scooby doo is surely everything its fans are hoping it will be , and in that sense is a movie that deserves recommendation .",0
"when the apocalypse arrives , it takes the form of a bio-chemical virus , contaminating the cities , mountains , and shorelines .",1
"sharing the clink with velma , are a collection of other sly females , all awaiting trial for the murders of their own partners .",1
"all the actors are good in pauline & paulette but van der groen , described as 'belgium's national treasure , ' is especially terrific as pauline .",0
set in a 1986 harlem that doesn't look much like anywhere in new york .,0
"a gently funny , sweetly adventurous film that makes you feel genuinely good , that is to say , entirely unconned by false sentiment or sharp , overmanipulative hollywood practices .",0
"obsessed with her job designing movie sets , fran insists that each prop be the real thing &#173 ; even if it happens to be a pair of rhinoceros eyes or a human finger .",1
"a movie that doesn't aim too high , but doesn't need to .",0
the movie is pretty funny now and then without in any way demeaning its subjects .,0
"in all , the film examines a destructive relationship that struggles with even the simplest decisions .",1
kudos to this first-time feature director for braiding his insider experience into something quite singular .,0
"there's an uneasy balance between the comedy and the drama that doesn't really fire on all levels , but it works on a few of them .",0
the film centres around three female supermodels who live and work together .,1
so unique and stubborn and charismatic that you want it to be better and more successful than it is .,0
monte cristo smartly emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds .,0
"improv comedy masters the upright citizens brigade star in this absurdist comedy about an evil chinese food company and their plan to turn little girls into "" saucy "" spare ribs .",1
peckerhead try to brainwash all the gays into being heterosexuals . . .,1
"scherfig , who has had a successful career in tv , tackles more than she can handle .",0
his story explores the ramifications of leaving afghanistan and living as a refugee in america .,1
a savage john waters-like humor that dances on the edge of tastelessness without ever quite falling over .,0
"tellis teams with henry oak , a friend of the dead narc and an aggressive cop constantly under the scrutiny of internal affairs .",1
"after months in the holy land he returns home in hope of forgiveness , some poontang and perhaps , if he finds the time , finding the mysterious wizard . . .",1
"a comedy about bending the rules to reach your goal , bend it like beckham explores the world of women's football , from kick-abouts in the park to freekicks in the final .",1
r xmas offers a poetic and profane ambiguity that's vintage ferrara .,0
"if you act in an inverse way , you will not have the room for larger stones .",1
"but sue , angry and feeling abandoned by lynn , decides to carry out the killing herself .",1
'the château is never quite able to overcome the cultural moat surrounding its ludicrous and contrived plot . ',0
"with the help of their gay hairdresser ( pop star jordan chan ) and some friends inside the company , the girls become "" irresistibly "" beautiful , and secretly get rehire under new identities .",1
"the heart of the film is the drop dead sexy drea de matteo who , as the mother and real head of the family , commands every scene .",0
he throws a book and as soon as it lands it's back where he picked it up .,1
"part way through the filming , stevie is arrested and charged with a serious crime that tears his family apart .",1
a witty screen adaptation of this classic comedy of manners with its generous supply of snappy one-liners .,0
"setting accounts with shaman - a big criminal boss , who ordered the evidence planted and also with his former colleagues was not a part of korenev's agenda .",1
secret ballot is too contemplative to be really funny .,0
there is simply not enough of interest onscreen to sustain its seventy-minute running time .,0
viewers of barney's crushingly self-indulgent spectacle will see nothing in it to match the ordeal of sitting through it .,0
"after the death of his mother , a middle-aged man seeks the admiration of his nephew by inviting him to a hotel in a seedy riverbend town .",1
