task,score,domain,date,text,paper_id
4976.0,1,www.channelnewsasia.com,2018-07-05 05:19:00,"FROM HELL TO HOLLYWOOD
Rescuers say there are three main options to extract the boys: diving out of the cave system, exiting through another hole if one can be found - or drilled - or waiting out the monsoon season underground.",205367
6248.0,3,www.taiwannews.com.tw,2018-07-05 04:05:00,That's a reflection of the human touch England players have come to expect from Southgate.,533
10407.0,1,indianexpress.com,2018-07-05 00:06:17,"Conversely, the state has the claim overall proceeds that its employees make during public employment.",229402
16018.0,1,www.businessinsider.sg,2018-07-05 00:00:00,"“We’ve known the Earlybird team for years… they have built a strong platform in Germany… they were also similarly starting to look to invest outside their home market.”
Draper may become the 100% backer for Earlybird’s next fund but that’s several years away, Cook added.",233056
4350.0,3,www.abc.net.au,2018-07-05 06:00:29,"If you've travelled overseas, you've probably felt the pain of a bad exchange rate (or been lucky enough to benefit from a good one).",569978
13152.0,1,www.nzherald.co.nz,2018-07-05 00:00:00,Last race: Josef Newgarden won for the third time in 2018 at Road America.,81576
12432.0,1,www.standardmedia.co.ke,2018-07-05 00:00:00,"Mr Muna lost his wife, Nancy Muthoni, while his 16-year-old daughter had a fractured limb.",503125
8199.0,1,indianexpress.com,2018-07-05 01:31:45,“Some slow trains had to be cancelled due to the speed restriction.,227923
1013.0,3,whdh.com,2018-07-18 00:00:00,"“I will say I was very privileged to be able to be there,” Schwab said, her eyes filling with tears.",319493
9973.0,1,www.ndtv.com,2018-07-05 00:14:44,"Thousands of people have signed a petition to prevent the closure of one of the UK's largest independent Hindu faith schools, the Swaminarayan School in London.",642783
3717.0,1,japantoday.com,2018-07-05 06:48:00,Japan has not taken part in the U.S. freedom of navigation operations in the South China Sea because doing so could provoke China which could increase its military presence in the East China Sea where the rivals are locked in a dispute over ownership of uninhabited islets known as the Senkaku in Japan and Diaoyu in China.,501502
6558.0,1,indianexpress.com,2018-07-05 03:25:20,"The National Housing Bank, the regulator for HFCs, understands the nuances and can ensure there is sufficient vigilance to guard against any speculative funding of land transactions,” he said.",229006
14228.0,1,www.nzherald.co.nz,2018-07-05 00:00:00,Lesco chowed down 28 wieners and buns.,81905
16545.0,1,indianexpress.com,2018-07-04 23:55:23,"“I totally agree with the ball-tampering stuff, but to be honest with you, I’m not the biggest fan of the stump mics being turned up,” Lyon said on The Unplayable Podcast.",230741
8590.0,0,www.channelnewsasia.com,2018-07-05 01:10:00,"Advertisement
Advertisement
Embraer, the third largest aircraft manufacturer in the world, was founded as a state group in 1969 before being privatized in 1994, although the Brazilian government retained the right to make strategic decisions for the company.",206852
19359.0,3,www.oneindia.com,2018-07-04 22:55:21,"The Congress chief, who launched a 'Shakti' portal for quick sharing of party activities among workers, alleged big businessmen were benefitting because of the ruling BJP's policies while the middle class and poorer sections were struggling.",246433
17895.0,1,indianexpress.com,2018-07-04 23:19:43,"(Source: Express file photo) Inderjeet Singh was provisionally suspended on July 26, 2016.",229598
6540.0,1,www.ndtv.com,2018-07-05 03:29:30,"They had a plywood business, and were able to expand from one shop to 11.",643848
15151.0,1,www.moneycontrol.com,2018-07-05 00:00:00,For now Volvo has decided to import fully built units of the new model as against starting production at the recently inaugurated assembly facility in Bengaluru.,651128
3524.0,1,www.abc.net.au,2018-07-05 07:05:16,"What that means for the infection rate
Experts told Fact Check the Cochrane review showed the risk of getting the flu was halved by the vaccine.",569794
7385.0,1,indianexpress.com,2018-07-05 02:23:27,"The court also appointed two amicus curiae in the housing project matter, including environmentalist M C Mehta.",228944
2428.0,1,www.eurekalert.org,2018-07-07 00:00:00,"""Our results are counterintuitive and unexpected, because we find that speciation is actually fastest in the geographic regions with the lowest species richness.""",131114
7850.0,3,www.channelnewsasia.com,2018-07-05 01:50:40,"""When it was 5-5 I started thinking about those match points on my serve at 40-0, but I told myself 'no, you are not going to lose this match'.",204823
8260.0,1,www.taiwannews.com.tw,2018-07-05 01:27:00,He cites a clip in the film shot in the mid-2000s that shows her in conflict.,2573
10676.0,3,indianexpress.com,2018-07-05 00:04:29,"“Well, then, my foreigner, you are not so strong as you think yourself to be.",230588
3983.0,1,japantoday.com,2018-07-05 06:15:00,"In the women's division, Miki Sudo, 32, of Las Vegas, won her fifth title by putting away 37 hot dogs.",501341
15386.0,3,www.dailyexaminer.com.au,2018-07-05 00:00:00,"It is such a big prize, I reckon Jenny would have to take a shy at the stumps.”
Looker has a strong book of rides at Grafton today, also earning the sit on John Carlton Cup (1205m) topweight Just A Bullet for Brett Cavanough.",692548
102.0,3,www.news18.com,2018-07-20 00:00:00,"""It's hard to predict where these moves will lead the world, but Washington will unavoidably pay heavy prices for its attempts to change the whole world to its economic tributary.""U.S.",200071
5116.0,1,www.abc.net.au,2018-07-05 05:07:59,"""That's only going to exacerbate the problem.""",570707
17954.0,1,www.dailymail.co.uk,2018-07-04 23:17:42,She's spent the past few days in Florida with her family cheering on youngest daughter Audriana in her dancing competition.,263107
17688.0,1,www.dailysabah.com,2018-07-04 23:24:37,The Teber's modular design offers affordable and innovative options.,198017
14667.0,1,www.nzherald.co.nz,2018-07-05 00:00:00,Officials were checking for possibly cracked buildings.,80904
18163.0,1,www.dailymail.co.uk,2018-07-04 23:12:18,"Assistant Commissioner of Specialist Operations Neil Basu, pictured right alongside England's chief medical officer Dame Sally Davies, confirmed the substance was Novichok nerve agent
Several places the couple visited or may have visited after they were exposed were locked down by police, including a church and Boots store.",249724
