domain,date,text,paper_id,sentence_id
www.ekathimerini.com,2018-07-25 00:00:00,"The leaders of Greece, Bulgaria, Romania and Serbia gather in Thessaloniki, northern Greece, on Wednesday for the fourth Quadrilateral Summit.",421969,0
www.ekathimerini.com,2018-07-25 00:00:00,"The prospects of the Western Balkans joining the European Union and other regional issues are expected to top the agenda, after the EU decided last month to start accession talks with the Former Yugoslav Republic of Macedonia (FYROM) and Albania.",421969,1
www.ekathimerini.com,2018-07-25 00:00:00,"Prime ministers Alexis Tsipras of Greece, Boyko Borissov of Bulgaria, and Viorica Dancila of Romania, and Serbia's President Aleksandar Vucic, will also be discussing closer cooperation in energy, transport, infrastructure and security.",421969,2
www.ekathimerini.com,2018-07-25 00:00:00,The refugee crisis is also expected to be a topic of discussion following last week’s EU summit on the issue.,421969,3
www.ekathimerini.com,2018-07-25 00:00:00,"The Thessaloniki meeting is seen as an effort to coordinate the four countries’ positions on a number of key issues ahead of a meeting of the leaders of China and the countries of Eastern Europe and the Balkans in Sofia on Saturday and the Western Balkans Summit of the Berlin Process, which will be held in London next week.",421969,4
www.ekathimerini.com,2018-07-25 00:00:00,"It is the fourth such meeting between the leaders of the four countries and is expected to become a fixture on their diplomatic agendas in light of major recent developments in the region, particularly the name deal between Greece and FYROM, and the EU-Western Balkans Summit that was held in Varna in Bulgaria in May.",421969,5
www.ekathimerini.com,2018-07-25 00:00:00,"The meeting is also expected to help push a number of major infrastructure projects in the region, including the construction of the Gas Interconnector Greece - Bulgaria (IGB) pipeline.",421969,6
www.ekathimerini.com,2018-07-25 00:00:00,The summit will begin at 6 p.m. with a meeting of the four leaders and a separate meeting of the respective infrastructure and transport ministers.,421969,7
www.ekathimerini.com,2018-07-25 00:00:00,"At 7 p.m., the meeting will include the delegations, and will be followed by a working dinner and a joint press conference at 8.15 p.m.",421969,8
ew.com,2018-07-25 00:00:00,"type Movie genre Horror release date 07/04/18 performer Y'lan Noel, Lex Scott Davis, Joivan Wade, Marisa Tomei director Gerard McMurray mpaa R
We gave it a C+
What are The Purge movies supposed to be?",593236,9
ew.com,2018-07-25 00:00:00,"Are they horror movies, in which we’re given a ludicrous set-up (all crime is legal!",593236,10
ew.com,2018-07-25 00:00:00,Mayhem reigns!),593236,11
ew.com,2018-07-25 00:00:00,so we can enjoy ideally no more than 90 minutes of gore and anarchy?,593236,12
