score,domain,date,text,paper_id
3,www.taiwannews.com.tw,2018-07-05 04:39:00,"""That's cool.",2080
3,www.automotiveworld.com,2018-07-11 00:00:00,"EDI’s hybrid system is the most versatile on the market today, able to switch, in real time, between fully electric, series and parallel modes.",248401
3,indianexpress.com,2018-07-04 23:57:32,"It was accused of failing to pay player match fees and allowances, with loose forward Takudzwa Mandiwanza allegedly being heard to claim in a leaked audio recording that De Villiers had to use personal funds to buy the team a meal while they were stranded.",228710
3,indianexpress.com,2018-07-04 23:06:19,We just went from bad to worse.,230425
3,www.businessinsider.sg,2018-07-05 00:00:00,It’s generally good.,233073
2,www.thechronicle.com.au,2018-07-05 05:00:00,"""I'll rest my case there.”
The next day The Chronicle ran 'Memo to Qantas: Choose Toowoomba over Mackay' on its front page and the Daily Mercury was not happy.",384874
3,www.nzherald.co.nz,2018-07-05 00:00:00,"""They are often isolated and neither predictable nor preventable.""",81931
3,www.standardmedia.co.ke,2018-07-05 00:00:00,"Habitam Alemu of Ethiopia, home-girl Selina Buchel and Britain’s 2014 Commonwealth Games 800m silver medalist Lynsey Sharp are also itching for glory.",503084
3,www.businessinsider.sg,2018-07-05 00:00:00,And yet … Sam’s Club’s quality and selection just can’t hold a candle to Costco’s.,233073
3,www.taiwannews.com.tw,2018-07-05 04:05:00,"""When something goes wrong in your life,"" Southgate advises, ""it doesn't finish you.""",533
3,indianexpress.com,2018-07-04 23:28:29,"The last few years I was waiting for a good result and it still didn’t come, maybe this year is the time; I am feeling great.” She will play Romanian 28th seed Mihaela Buzarnescu next.",229093
3,www.sunshinecoastdaily.com.au,2018-07-05 07:10:00,The 25-year-old is gearing up to unload a ferocious attack on Tyler Hardcastle on Saturday in a bid to earn the World Muay Thai Council's Australian professional welterweight title.,427777
0,www.dailymail.co.uk,2018-07-04 22:47:49,Happy birthday America!',258702
3,www.businessinsider.sg,2018-07-05 00:00:00,One walks into Costco not even expecting food; the fact that they serve food is a surprise unto itself.,233073
3,www.standardmedia.co.ke,2018-07-05 00:00:00,Nancy's recovery has astonished doctors.,503049
3,www.channelnewsasia.com,2018-07-05 05:45:20,"Enders, however, added that he was “very encouraged to see that more and more American companies are speaking up against the trade policy of the White House.",203970
0,www.standardmedia.co.ke,2018-07-05 00:00:00,"“Ni tutige kurituhia maundu, malorry macio matiraruta wira, nige mukurihia atia kilometre 1 millioni 1.5 na murrum itaiuma oguku kaunti?",503038
3,indianexpress.com,2018-07-05 00:08:53,"By giving the Union Public Services Commission (UPSC) a say in the appointment of Director General of Police (DGP) in states, the Supreme Court has taken a simplistic approach to the vexed issue of police reforms.",229665
3,www.standardmedia.co.ke,2018-07-05 00:00:00,"""And then he started getting more busy with work and I guess you would say it felt like we were growing, in distance, apart.""",503049
3,www.automotiveworld.com,2018-07-11 00:00:00,"Grand C4 SpaceTourer receiving its fifth consecutive Best MPV title is a true testament to the brilliant and practical design of the car, firmly marking its place at the top of the field.”
The annual Auto Express New Car Awards celebrate everything from city cars to performance models – petrol, diesel, hybrid and electric powertrains alike.",248477
0,tempo.com.ph,2018-07-05 00:00:35,); Tel.,211508
0,www.standardmedia.co.ke,2018-07-05 00:00:00,Can it work?,502996
3,www.dailystar.co.uk,2018-07-04 22:50:00,"""We need to repopulate these places and local authorities are the key to unlocking this, along with good leadership.",212494
3,www.abc.net.au,2018-07-05 00:01:32,"""This is far from solving the problem, but at least it would address and improve some of the problems that we have.",570848
0,www.nzherald.co.nz,2018-07-05 00:00:00,Track: Daytona International Speedway.,81576
3,www.news-mail.com.au,2018-07-05 05:00:00,"""I'll rest my case there.""",86566
3,www.freepressjournal.in,2018-07-05 00:13:11,"Instead Night, his 11 teammates and their 25-year-old coach made the ill-fated decision to walk into the Tham Luang cave after training.",364930
